Ratio,Angle1 ,Angle 2,Name
1.481481481,140,80,Mee 
1.709090909,120,80,Mee 
1.528301887,140,80,Mee 
1.5,140,100,Mee 
1.78,120,80,Mee 
1.634615385,140,80,Mee 
1.4,140,80,Mee 
1.660377358,70,100,Mee 
1.396551724,140,100,Mee 
1.58,140,100,Mee 
1.631578947,120,100,Mee 
1.5,140,80,Mee 
1.709090909,120,80,Mee 
1.701754386,140,80,Mee 
1.573770492,120,60,Mee 
1.527272727,140,100,Mee 
1.636363636,120,80,Mee 
1.634615385,120,60,Mee 
1.446153846,125,85,Mee 
1.553846154,124,82,Mee 
1.68,127,72,Mee 
1.764705882,107,85,Mee 
1.764705882,115,99,Mee 
1.672727273,144,93,Mee 
1.645833333,146,96,Mee 
1.48,128,75,Mee 
1.733333333,136,70,Mee 
1.551724138,133,79,Mee 
1.446153846,161,81,Mee 
1.653846154,141,91,Mee 
1.777777778,129,63,Mee 
1.759259259,120,95,Mee 
1.725490196,114,78,Mee 
1.450980392,132,76,Mee 
1.456140351,122,70,Mee 
2,116,63,Mee 
1.690909091,124,88,Mee 
1.5,119,81,Mee 
1.5625,147,67,Mee 
1.85106383,139,67,Mee 
1.451612903,130,77,Mee 
1.55,145,97,Mee 
1.775510204,131,77,Mee 
1.384615385,121,65,Mee 
1.66,145,78,Mee 
1.727272727,135,77,Mee 
1.807017544,120,53,Mee 
1.857142857,128,79,Mee 
1.865384615,121,78,Mee 
1.721311475,116,87,Mee 
1.430769231,139,98,Mee 
1.62962963,149,91,Mee 
1.607142857,116,77,Mee 
1.727272727,136,69,Mee 
1.603773585,123,106,Mee 
1.8,125,81,Mee 
1.770833333,124,80,Mee 
1.586206897,121,80,Mee 
1.672727273,130,82,Mee 
1.5,122,79,Mee 
1.5,133,74,Mee 
1.5,129,75,Mee 
1.8,128,80,Mee 
1.581818182,121,75,Mee 
1.659574468,124,73,Mee 
1.465517241,138,81,Mee 
1.666666667,135,77,Mee 
1.396226415,120,95,Mee 
1.384615385,131,53,Mee 
1.666666667,138,91,Mee 
1.641509434,113,92,Mee 
1.587301587,135,59,Mee 
1.590163934,123,77,Mee 
1.350877193,136,76,Mee 
1.7,122,66,Mee 
1.58,112,72,Mee 
1.618181818,114,69,Mee 
1.549019608,130,98,Mee 
1.568627451,133,89,Mee 
1.291666667,121,93,Mee 
1.541666667,136,87,Mee 
2.054054054,113,69,Mee 
1.975,129,75,Mee 
1.76744186,118,85,Mee 
1.739130435,123,68,Mee 
1.660377358,130,87,Mee 
1.714285714,121,78,Mee 
1.68627451,126,76,Mee 
1.617021277,140,87,Mee 
1.614035088,124,84,Mee 
0.162745098,138,76,Mee 
1.532258065,119,92,Mee 
1.591836735,135,69,Mee 
1.648148148,144,86,Mee 
1.535714286,105,86,Mee 
1.542372881,122,77,Mee 
1.538461538,136,83,Mee 
1.615384615,128,67,Mee 
1.524590164,134,89,Mee 
1.672413793,124,78,Mee 
1.64,131,75,Mee 
1.660377358,128,90,Mee 
1.523809524,142,73,Mee 
1.526315789,133,66,Mee 
1.566666667,133,64,Mee 
1.634615385,126,86,Mee 
1.607142857,125,67,Mee 
1.53125,126,98,Mee 
1.618181818,134,59,Mee 
1.586206897,126,97,Mee 
1.68627451,133,82,Mee 
1.631578947,151,79,Mee 
1.6875,139,75,Mee 
1.532258065,127,84,Mee 
1.58490566,142,80,Mee 
1.5,126,91,Mee 
1.5,110,81,Mee 
1.62962963,120,82,Mee 
1.745454545,111,76,Mee 
1.66,126,79,Mee 
1.491803279,130,83,Mee 
1.603773585,147,63,Mee 
1.533333333,133,67,Mee 
1.680851064,128,87,Mee 
1.593220339,138,82,Mee 
1.607843137,108,78,Mee 
1.412698413,132,80,Mee 
1.732142857,138,83,Mee 
1.72,115,75,Mee 
1.5,141,72,Mee 
1.555555556,133,82,Mee 
1.568965517,126,70,Mee 
1.673076923,136,84,Mee 
1.557377049,153,63,Mee 
1.660377358,132,90,Mee 
1.649122807,132,85,Mee 
1.66,125,83,Mee 
1.5,122,90,Mee 
1.563636364,138,97,Mee 
1.559322034,121,90,Mee 
1.557692308,131,62,Mee 
1.53968254,125,67,Mee 
1.574074074,135,74,Mee 
1.603448276,133,80,Mee 
1.711538462,140,85,Mee 
1.566666667,125,73,Mee 
1.705882353,127,82,Mee 
1.685185185,120,72,Mee 
1.795918367,126,74,Mee 
1.9,134,66,Mee 
3.066666667,51,62,Christina
3.428571429,58,67,Christina
2,75,83,Christina
2.108108108,70,100,Christina
3,51,71,Christina
3.269230769,43,80,Christina
2.916666667,63,90,Christina
2.730769231,59,76,Christina
2.64,53,79,Christina
2.275862069,63,85,Christina
2.379310345,54,83,Christina
2.615384615,55,70,Christina
2.523809524,55,71,Christina
2.1,78,83,Christina
3,41,88,Christina
3.75,37,65,Christina
2.041666667,90,80,Christina
2,66,82,Christina
2.88,60,81,Christina
2.52173913,58,80,Christina
3.19047619,48,71,Christina
2.555555556,56,80,Christina
3,48,90,Christina
2.666666667,52,90,Christina
2.636363636,70,82,Christina
3.388888889,42,69,Christina
2,70,91,Christina
1.724137931,71,84,Christina
2.5,59,72,Christina
2.434782609,62,73,Christina
2.72,46,72,Christina
2.666666667,50,80,Christina
2.590909091,77,78,Christina
2.409090909,49,73,Christina
2.5625,42,81,Christina
2.272727273,60,68,Christina
2.391304348,61,94,Christina
2.52,82,84,Christina
2.318181818,55,80,Christina
2.5,76,65,Christina
2.5,53,79,Christina
2.137931034,80,82,Christina
3.333333333,40,69,Christina
3.043478261,52,71,Christina
2.958333333,45,60,Christina
2.363636364,63,60,Christina
3.333333333,63,60,Christina
3.2,56,65,Christina
2.526315789,60,72,Christina
3.210526316,42,69,Christina
2.347826087,60,82,Christina
3.533333333,51,50,Christina
2.727272727,61,85,Christina
3.1875,50,64,Christina
2.48,76,80,Christina
5.45112782,51,41,Christina
2.295620438,64,68,Christina
2.756457565,57,79,Christina
3.512,43,74,Christina
2.662337662,57,61,Christina
4.489051095,59,67,Christina
4.106481481,46,63,Christina
3.430493274,57,61,Christina
3.11827957,56,83,Christina
3.084388186,44,75,Christina
2.056737589,59,60,Christina
1.44638404,61,83,Christina
2.598484848,66,75,Christina
1.339483395,66,82,Christina
1.602459016,41,79,Christina
5.66,46,58,Christina
2.008064516,60,62,Christina
2.733333333,60,81,Christina
1.149888143,60,79,Christina
1.863829787,90,70,Christina
3.175182482,61,72,Christina
2.493927126,66,89,Christina
4.203821656,65,61,Christina
1.278592375,62,78,Christina
1.832258065,52,67,Christina
2.130990415,63,67,Christina
2.694915254,47,86,Christina
1.950276243,53,82,Christina
4.057971014,50,82,Christina
2.04040404,56,90,Christina
1.317647059,78,70,Christina
5.426900585,36,80,Christina
3.16097561,62,65,Christina
1.903100775,39,75,Christina
3.680952381,50,68,Christina
3.706349206,66,71,Christina
2.670588235,56,79,Christina
2.157575758,44,58,Christina
1.565972222,48,90,Christina
3.863636364,62,55,Christina
2.034759358,48,52,Christina
3.614973262,57,87,Christina
2.825892857,55,82,Christina
1.920634921,48,79,Christina
2.815789474,76,79,Christina
2.02238806,61,70,Christina
1.636619718,35,57,Christina
6.685950413,57,71,Christina
2.649056604,48,60,Christina
1.424354244,64,85,Christina
2.233226837,47,68,Christina
3.920529801,54,58,Christina
3.805555556,60,65,Christina
2.54109589,64,76,Christina
2.937956204,43,62,Christina
2.925925926,52,58,Christina
1.884892086,50,74,Christina
3.081632653,48,74,Christina
2.602230483,73,62,Christina
2.915750916,59,63,Christina
2.994818653,42,73,Christina
1.558897243,64,48,Christina
1.680555556,76,49,Christina
3.038709677,65,59,Christina
2.547854785,40,67,Christina
4.959302326,50,75,Christina
2.041533546,68,90,Christina
2.335276968,48,83,Christina
3.826086957,59,68,Christina
1.691131498,63,70,Christina
2.487632509,46,55,Christina
2.787974684,54,70,Christina
1.604477612,23,66,Christina
3.847826087,45,75,Christina
1.578947368,52,58,Christina
4.318435754,43,78,Christina
3.583783784,71,90,Christina
2.479508197,41,68,Christina
2.397111913,51,76,Christina
1.294117647,56,80,Christina
1.952531646,69,64,Christina
2.804780876,41,73,Christina
2.382513661,67,70,Christina
2.497816594,55,71,Christina
1.13034188,45,58,Christina
1.916666667,60,70,Christina
4.348066298,57,77,Christina
4.262195122,49,90,Christina
1.975778547,56,84,Christina
3.13362069,51,90,Christina
2.166123779,56,58,Christina
2.760416667,62,83,Christina
2.233606557,71,73,Christina
3.302197802,43,90,Christina
4.581395349,76,58,Christina
4.107142857,45,61,Maadan
3.75,36,54,Maadan
3.958333333,50,57,Maadan
3.653846154,42,51,Maadan
4.4,50,48,Maadan
4.421052632,52,73,Maadan
4.19047619,53,51,Maadan
4.625,40,44,Maadan
4.043478261,31,57,Maadan
3.5,44,52,Maadan
4.111111111,60,57,Maadan
4.2,49,50,Maadan
4.375,55,59,Maadan
4.473684211,41,40,Maadan
4.107142857,53,42,Maadan
4,41,41,Maadan
4.263157895,63,52,Maadan
4.428571429,40,50,Maadan
4.4,44,43,Maadan
3.909090909,42,50,Maadan
4.25,42,44,Maadan
4.545454545,40,51,Maadan
4.136363636,44,45,Maadan
4.2,38,50,Maadan
4.5,44,50,Maadan
4.5,43,50,Maadan
4.411764706,56,43,Maadan
4.8125,40,45,Maadan
4.777777778,50,35,Maadan
3.642857143,37,50,Maadan
4.625,58,41,Maadan
4.333333333,40,46,Maadan
4.333333333,56,50,Maadan
4.125,53,45,Maadan
1.914285714,40,34,Maadan
4.533333333,46,40,Maadan
4.533333333,50,53,Maadan
4.375,30,50,Maadan
4.5,61,60,Maadan
4.583333333,48,51,Maadan
7.078740157,41,30,Maadan
3.590697674,54,48,Maadan
4.366197183,47,56,Maadan
5.525,33,53,Maadan
4.005319149,47,44,Maadan
5.837209302,49,48,Maadan
6.234636872,36,45,Maadan
5.207650273,47,44,Maadan
4.4125,46,59,Maadan
4.734375,34,54,Maadan
3.213636364,49,43,Maadan
2.404761905,51,59,Maadan
4.057416268,56,53,Maadan
1.957746479,56,58,Maadan
2.321428571,31,56,Maadan
6.615384615,36,42,Maadan
3,50,44,Maadan
4.251231527,50,57,Maadan
1.913312693,50,56,Maadan
2.726315789,84,50,Maadan
5.08372093,51,51,Maadan
3.813131313,56,63,Maadan
5.732394366,55,44,Maadan
2.003891051,52,55,Maadan
2.903361345,42,48,Maadan
3.425,53,48,Maadan
3.677419355,37,61,Maadan
3.240740741,43,58,Maadan
5.230769231,40,58,Maadan
3.240174672,46,63,Maadan
2.193548387,68,50,Maadan
7.8,26,57,Maadan
4.63372093,52,47,Maadan
2.868292683,29,53,Maadan
5.514285714,40,49,Maadan
4.557377049,56,51,Maadan
4.147783251,46,56,Maadan
2.775510204,34,42,Maadan
2.383928571,38,71,Maadan
5.448051948,52,40,Maadan
3.422382671,38,38,Maadan
5.180124224,47,62,Maadan
4.222826087,45,58,Maadan
3.070539419,38,56,Maadan
3.652173913,66,56,Maadan
3.109004739,51,50,Maadan
2.671698113,25,41,Maadan
8.425,47,51,Maadan
4.157894737,38,43,Maadan
2.098591549,54,60,Maadan
3.619246862,37,49,Maadan
5.239130435,44,42,Maadan
4.962686567,50,47,Maadan
4.079646018,54,54,Maadan
4.679069767,33,44,Maadan
4.629107981,42,42,Maadan
2.912442396,40,52,Maadan
4.445783133,38,52,Maadan
4.08490566,63,45,Maadan
4.627906977,49,45,Maadan
4.292682927,32,52,Maadan
2.604095563,54,36,Maadan
2.584821429,66,36,Maadan
4.007142857,55,43,Maadan
4.13304721,30,48,Maadan
7.092715232,40,53,Maadan
3.288702929,58,65,Maadan
3.879844961,38,59,Maadan
5.48427673,49,48,Maadan
2.705645161,53,50,Maadan
3.945701357,36,40,Maadan
4.597510373,44,50,Maadan
2.688135593,13,47,Maadan
5.920212766,35,53,Maadan
1.851851852,42,42,Maadan
6.179487179,33,55,Maadan
5.13836478,61,65,Maadan
3.775510204,31,49,Maadan
3.769585253,41,54,Maadan
1.878504673,46,57,Maadan
3.136929461,59,46,Maadan
4.333333333,31,52,Maadan
4.014652015,57,50,Maadan
3.721925134,45,51,Maadan
1.898809524,35,42,Maadan
3.03030303,50,50,Maadan
6.261146497,47,55,Maadan
5.931506849,39,65,Maadan
3.098214286,46,60,Maadan
4.777777778,41,72,Maadan
3.470338983,46,42,Maadan
4.4375,52,59,Maadan
3.367346939,61,52,Maadan
4.64556962,33,72,Maadan
5.822580645,66,42,Maadan
4.210526316,47,54,Maadan
4.181818182,40,50,Maadan
3.391304348,55,49,Maadan
4,48,52,Maadan
4.941176471,39,46,Maadan
4.25,42,53,Maadan
